Country,City,AQI_Value,AQI_Category,CO_AQI_Value,CO_AQI_Category,Ozone_AQI_Value,Ozone_AQI_Category,NO2_AQI_Value,NO2_AQI_Category,PM_25_AQI_Value,PM_25_AQI_Category,lat,lng
8,179,34,2,0,1,34,1,1,1,26,2,52.2167,5.2833
20,180,32,2,0,1,30,1,1,1,32,2,51.1081,10.6467
46,181,500,6,1,1,38,1,1,1,466,6,29.9928,73.2536
47,182,52,1,0,1,28,1,0,1,52,1,16.073,102.7362
18,183,27,2,0,1,23,1,0,1,27,2,17.5965,120.6179
20,184,38,2,0,1,28,1,2,1,38,2,53.7167,10.2667
5,185,56,1,1,1,23,1,6,1,56,1,36.7365,-95.9456
46,186,117,5,1,1,117,5,1,1,78,1,34.62,71.97
48,187,92,1,2,1,57,2,1,1,92,1,4.4667,101.05
3,188,124,5,2,1,32,1,7,1,124,5,45.2981,10.475
3,189,68,1,2,1,68,2,6,1,57,1,38.9,16.6
18,190,68,1,1,1,26,1,0,1,68,1,11.7833,124.8833
49,191,39,2,1,1,4,1,2,1,39,2,0.0439,-78.1561
3,192,38,2,1,1,36,1,5,1,38,2,44.2,12.3944
50,193,17,2,0,1,17,1,1,1,17,2,-34.6333,-60.4667
51,194,21,2,0,1,4,1,0,1,21,2,-6.2167,-77.85
7,195,151,3,3,1,119,5,1,1,151,3,41.5757,120.4486
1,196,38,2,1,1,38,1,0,1,35,2,54.2333,83.3667
1,197,49,2,1,1,40,1,0,1,49,2,44.2222,42.0575
22,198,72,1,2,1,4,1,5,1,72,1,17.55,-99.5
5,199,73,1,1,1,32,1,2,1,73,1,38.8597,-104.6995
2,200,46,2,1,1,2,1,0,1,46,2,-4.085,-63.1408
15,201,35,2,1,1,12,1,9,1,35,2,55.8625,-4.0266
27,202,24,2,0,1,24,1,1,1,16,2,51.851,-8.2967
2,203,45,2,1,1,14,1,2,1,45,2,-19.5389,-40.6308
52,204,65,1,1,1,12,1,6,1,65,1,18.8833,-71.7
3,205,112,5,1,1,34,1,4,1,112,5,45.8103,9.0861
2,206,19,2,0,1,19,1,0,1,11,2,-11.8139,-37.6108
15,207,31,2,0,1,31,1,2,1,22,2,54.85,-1.83
5,208,152,3,4,1,4,1,19,1,152,3,26.0463,-80.2862
5,209,31,2,1,1,21,1,1,1,31,2,31.1192,-97.914
50,210,13,2,1,1,12,1,0,1,13,2,-27.4833,-58.8167
3,211,103,5,2,1,28,1,9,1,103,5,44.7167,11.15
53,212,52,1,1,1,35,1,0,1,52,1,38.9558,45.6308
54,213,30,2,0,1,30,1,2,1,13,2,43.2883,-8.3894
16,214,73,1,0,1,25,1,0,1,73,1,15.1773,73.9939
2,215,42,2,1,1,2,1,4,1,42,2,-18.7558,-44.4308
20,216,35,2,0,1,35,1,0,1,30,2,53.8611,8.6944
5,217,46,2,1,1,25,1,5,1,46,2,26.5392,-81.8999
55,218,63,1,2,1,13,1,0,1,63,1,10.656,-12.272
9,219,39,2,1,1,26,1,1,1,39,2,47.025,4.8397
5,220,56,1,1,1,18,1,6,1,56,1,52.135,-0.47
5,220,56,1,1,1,18,1,6,1,56,1,32.8464,-97.135
5,220,56,1,1,1,18,1,6,1,56,1,42.9406,-71.5302
5,220,56,1,1,1,18,1,6,1,56,1,41.225,-73.6673
5,220,56,1,1,1,18,1,6,1,56,1,42.4969,-71.2783
5,220,56,1,1,1,18,1,6,1,56,1,38.8602,-86.4895
