brand,processor_brand,processor_name,processor_gnrtn,ram_gb,ssd,hdd,os,os_bit,graphic_card_gb,Price,rating,Number of Ratings,Number of Reviews
0,0,2,3,2,2,2,1,1,3,142,2,0,0
3,0,2,5,2,2,2,1,1,1,41,2,17,3
0,0,2,3,2,2,2,1,1,1,168,2,17,2
1,0,2,1,2,2,2,1,1,2,219,3,3,0
4,0,2,3,3,2,2,1,1,2,220,3,512,85
3,0,2,5,2,2,2,1,1,1,221,2,17,3
4,0,2,3,3,2,2,1,1,3,222,2,0,0
1,0,2,5,2,2,2,1,1,1,160,2,3,1
0,0,2,1,2,2,2,1,1,3,223,3,1365,137
1,0,2,3,2,2,2,1,2,2,224,2,8,3
0,0,2,3,2,5,2,1,1,3,223,3,368,48
0,0,2,3,2,5,2,1,1,3,172,3,202,26
0,0,2,1,2,5,2,1,1,3,172,3,187,26
7,0,2,1,3,5,2,3,1,1,225,3,31,3
7,0,2,1,3,5,2,3,1,1,225,3,91,5
0,0,2,1,2,5,2,1,1,3,150,3,844,118
0,0,2,3,2,5,2,1,1,3,170,2,0,0
0,0,2,3,2,5,2,1,1,3,226,3,3,0
5,0,2,3,2,5,2,1,1,1,227,3,21,3
1,0,2,3,2,5,2,1,1,1,145,2,4,0
1,0,2,1,2,2,3,1,1,1,228,2,0,0
1,0,2,1,2,2,3,1,1,1,229,2,0,0
2,0,2,3,2,1,1,1,1,1,38,2,0,0
2,0,2,3,2,1,1,1,1,1,125,2,253,28
5,0,2,3,2,1,1,1,1,1,57,2,470,46
2,0,2,5,2,1,1,1,1,2,156,3,118,28
0,0,2,1,2,1,1,1,1,1,125,3,1444,179
6,0,2,1,2,1,1,1,1,3,134,3,1114,137
1,0,2,4,2,1,1,1,2,2,75,2,0,0
1,0,2,7,2,1,1,1,1,1,230,2,78,17
1,0,2,5,2,1,1,1,1,3,231,3,21,5
2,0,2,5,2,1,1,1,1,2,138,3,73,21
5,0,2,3,2,1,1,1,2,1,232,2,0,0
